Group,Sample
Group_1,M22678MO6_S152
Group_1,M22726MILK_S259
Group_4,M22726MO1_S31
Group_1,M22726MO6_S153
Group_4,M22751MILK_S260
Group_4,M22751MO1_S32
Group_1,M22751MO6_S154
Group_1,M22777MILK_S261
Group_2,M22777MO1_S33
Group_1,M22777MO6_S155
Group_4,M22779MO1_S34
Group_4,M22781MO1_S35
Group_4,M22784MILK_S262
Group_1,M22784MO6_S156
Group_1,M22799MILK_S263
Group_4,M22799MO6_S169
Group_1,M22800MILK_S264
Group_4,M22800MO1_S36
Group_4,M22800MO6_S158
Group_1,M22976MILK_S265
Group_4,M22976MO1_S37
Group_4,M22976MO6_S159
Group_1,M22999MILK_S266
Group_4,M22999MO1_S38
Group_2,M22999MO6_S160
Group_4,M23002MILK_S267
Group_4,M23002MO1_S39
Group_2,M23002MO6_S161
Group_1,M23041MILK_S268
Group_1,M23041MO1_S506
Group_3,M23041MO6_S162
Group_4,M23054MILK_S269
Group_4,M23054MO1_S507
Group_4,M23054MO6_S163
Group_4,M23090MILK_S497
Group_4,M23090MO1_S508
Group_1,M23090MO6_S164
Group_1,M23111MILK_S498
Group_4,M23111MO1_S509
Group_1,M23111MO6_S165
Group_1,M23113MILK_S272
Group_4,M23113MO1_S510
Group_4,M23113MO6_S166
Group_2,M23141MILK_S273
Group_4,M23141MO1_S511
Group_1,M23148MILK_S274
Group_1,M23148MO1_S512
Group_1,M23148MO6_S167
Group_1,M23203MILK_S275
Group_4,M23203MO1_S513
Group_4,M23203MO6_S168
Group_1,M23243MILK_S276
Group_2,M23243MO1_S40
Group_1,M23243MO6_S157
Group_1,M23252MILK_S277
Group_4,M23252MO1_S41
Group_4,M23252MO6_S170
Group_1,M23269MILK_S278
Group_4,M23269MO1_S42
Group_3,M23269MO6_S171
Group_1,M23278MILK_S279
Group_4,M23278MO1_S43
Group_1,M23278MO6_S172
Group_1,M23315MILK_S280
Group_4,M23315MO1_S44
Group_1,M23315MO6_S173
Group_4,M23316MO1_S45
Group_4,M23361MILK_S281
Group_1,M23361MO6_S174
Group_4,M23373MILK_S282
Group_4,M23373MO1_S46
Group_4,M23373MO6_S175
Group_4,M23378MILK_S283
Group_4,M23378MO1_S47
Group_1,M23378MO6_S176
Group_1,M23405MILK_S284
Group_4,M23405MO1_S48
Group_1,M23405MO6_S179
Group_1,M23431MILK_S285
Group_4,M23431MO1_S49
Group_4,M23431MO6_S180
Group_1,M23468MILK_S286
Group_4,M23468MO1_S50
Group_4,M23468MO6_S181
Group_4,M23472MILK_S287
Group_4,M23472MO1_S51
Group_1,M23472MO6_S182
Group_1,M23477MILK_S288
Group_4,M23477MO1_S52
Group_4,M23477MO6_S183
Group_1,M23493MILK_S289
Group_1,M23493MO6_S184
Group_1,M23496MILK_S290
Group_4,M23496MO1_S53
Group_4,M23496MO6_S185
Group_1,M23497MILK_S291
Group_4,M23497MO1_S54
Group_3,M23497MO6_S186
Group_3,M23515MO1_S55
Group_4,M23515MO6_S187
Group_1,M23521MILK_S293
Group_3,M23521MO1_S56
Group_2,M23521MO6_S188
Group_1,M23537MILK_S294
Group_4,M23537MO1_S57
Group_4,M23537MO6_S189
Group_1,M23557MILK_S295
Group_4,M23557MO1_S58
Group_2,M23557MO6_S190
Group_4,M23586MILK_S296
Group_3,M23586MO1_S59
Group_2,M23586MO6_S191
Group_1,M23588MILK_S297
Group_1,M23588MO1_S60
Group_2,M23588MO6_S192
Group_1,M23619MILK_S298
Group_4,M23619MO1_S61
Group_4,M23619MO6_S193
Group_1,M23625MILK_S299
Group_4,M23625MO1_S62
Group_4,M23625MO6_S194
Group_1,M23639MILK_S300
Group_4,M23670MILK_S301
Group_2,M23670MO1_S63
Group_2,M23670MO6_S195
Group_1,M23690MILK_S302
Group_4,M23690MO1_S64
Group_1,M23690MO6_S196
Group_4,M23693MO1_S65
Group_1,M23693MO6_S197
Group_1,M23705MILK_S303
Group_4,M23705MO1_S66
Group_4,M23705MO6_S198
Group_4,M23772MILK_S304
Group_4,M23772MO1_S375
Group_2,M23772MO6_S199
Group_1,M23773MILK_S305
Group_4,M23773MO1_S67
Group_2,M23773MO6_S200
Group_1,M23778MILK_S306
Group_4,M23788MO1_S68
Group_4,M23788MO6_S201
Group_4,M23802MILK_S307
Group_4,M23802MO1_S69
Group_1,M23802MO6_S202
Group_4,M23828MILK_S308
Group_4,M23910MILK_S309
Group_4,M23910MO1_S70
Group_1,M23910MO6_S203
Group_1,M23912MILK_S310
Group_4,M23912MO1_S71
Group_1,M23912MO6_S204
Group_4,M23922MILK_S311
Group_4,M23922MO1_S72
Group_1,M23922MO6_S205
Group_4,M23927MILK_S312
Group_4,M23927MO1_S73
Group_4,M23927MO6_S206
Group_4,M23962MO1_S74
Group_1,M23962MO6_S207
Group_4,M23971MILK_S313
Group_2,M23971MO1_S75
Group_2,M23971MO6_S208
Group_4,M23978MILK_S314
Group_4,M23978MO1_S76
Group_1,M23989MILK_S315
