clade_name	4M30015MO1	4M30015MO6	4M60004MO1	4M60005MO1	4M60005MO6	4M60006MO1	4M60008MO1	4M60008MO6	4M60009MO1	4M60009MO6	4M60012MO6	4M60013MO1	4M60013MO6	4M60014MO1	4M60014MO6	4M60017MO1	4M60018MO1	4M60018MO6	4M60019MO1	4M60019MO6	4M60020MO1	4M60020MO6	4M60024MO1	4M60025MO1	4M60025MO6	4M60026MO1	4M60028MO1	4M60030MO1	4M60031MO6	4M60032MO1	4M60032MO6	4M60033MO1	4M60034MO1	4M60034MO6	4M60035MO1	4M60035MO6	4M60037MO1	4M60037MO6	4M60038MO1	4M60038MO6	4M60039MO1	4M60040MO1	4M60042MO1	4M60044MO1	4M60045MO1	4M60045MO6	4M60047MO1	4M60048MO1	M21864MO6	M21900MO1	M21900MO6	M21909MO1	M21909MO6	M21942MO1	M21942MO6	M21950MO1	M21950MO6	M21954MO1	M21954MO6	M21969MO1	M21969MO6	M21971MO1	M21978MO1	M21978MO6	M21983MO1	M21983MO6	M21991MO1	M21991MO6	M22014MO1	M22014MO6	M22025MO1	M22025MO6	M22049MO1	M22049MO6	M22098MO1	M22098MO6	M22114MO1	M22114MO6	M22200MO1	M22200MO6	M22239MO1	M22239MO6	M22254MO1	M22254MO6	M22258MO1	M22281MO1	M22281MO6	M22310MO1	M22310MO6	M22312MO1	M22312MO6	M22368MO1	M22368MO6	M22410MO6	M22498MO6	M22507MO1	M22507MO6	M22582MO1	M22582MO6	M22600MO1	M22600MO6	M22620MO1	M22620MO6	M22631MO1	M22631MO6	M22671MO1	M22671MO6	M22678MO1	M22678MO6	M22726MO1	M22726MO6	M22751MO1	M22751MO6	M22777MO1	M22777MO6	M22779MO1	M22781MO1	M22784MO6	M22799MO6	M22800MO1	M22800MO6	M22976MO1	M22976MO6	M22999MO1	M22999MO6	M23002MO1	M23002MO6	M23041MO1	M23041MO6	M23054MO1	M23054MO6	M23090MO1	M23090MO6	M23111MO1	M23111MO6	M23113MO1	M23113MO6	M23141MO1	M23148MO1	M23148MO6	M23203MO1	M23203MO6	M23243MO1	M23243MO6	M23252MO1	M23252MO6	M23269MO1	M23269MO6	M23278MO1	M23278MO6	M23315MO1	M23315MO6	M23316MO1	M23361MO6	M23373MO1	M23373MO6	M23378MO1	M23378MO6	M23405MO1	M23405MO6	M23431MO1	M23431MO6	M23468MO1	M23468MO6	M23472MO1	M23472MO6	M23477MO1	M23477MO6	M23493MO6	M23496MO1	M23496MO6	M23497MO1	M23497MO6	M23515MO1	M23515MO6	M23521MO1	M23521MO6	M23537MO1	M23537MO6	M23557MO1	M23557MO6	M23586MO1	M23586MO6	M23588MO1	M23588MO6	M23619MO1	M23619MO6	M23625MO1	M23625MO6	M23670MO1	M23670MO6	M23690MO1	M23690MO6	M23693MO1	M23693MO6	M23705MO1	M23705MO6	M23772MO1	M23772MO6	M23773MO1	M23773MO6	M23788MO1	M23788MO6	M23802MO1	M23802MO6	M23910MO1	M23910MO6	M23912MO1	M23912MO6	M23922MO1	M23922MO6	M23927MO1	M23927MO6	M23962MO1	M23962MO6	M23971MO1	M23971MO6	M23978MO1	M23989MO1	M23989MO6	M23993MO1	M23995MO1	M23995MO6	M24017MO1	M24057MO1	M24060MO1	M24060MO6	M24087MO1	M24087MO6	M24123MO1	M24123MO6	M24163MO1	M24163MO6	M24181MO6	M24237MO1	M24237MO6	M24239MO1	M24239MO6	M24250MO1	M24250MO6	M24262MO1	M24262MO6	M24326MO1	M24326MO6	M24358MO1	M24358MO6	M24377MO1	M24377MO6	M24378MO1	M24382MO1	M24382MO6	M24396MO1	M24396MO6	M24405MO1	M24405MO6	M2440MO1	M24416MO1	M24416MO6	M24429MO1	M24429MO6	M24430MO1	M24430MO6	M24440MO6	M24466MO1	M24466MO6	M24482MO1	M24482MO6	M24483MO1	M24492MO1	M24492MO6	M24527MO1	M24527MO6	M24539MO1	M24539MO6	M24542MO1	M24542MO6	M24572MO1	M24572MO6	M24575MO1	M24575MO6	M24590MO1	M24590MO6	M24607MO1	M24607MO6	M24676MO1	M24676MO6	M24690MO1	M24690MO6	M24714MO1	M24714MO6	M24719MO1	M24719MO6	M24731MO1	M24731MO6	M24734MO1	M24734MO6	M24754MO1	M24754MO6	M24835MO1	M24835MO6	M24888MO1	M24888MO6	M24963MO6	M25003MO1	M25003MO6	M25027MO1	M25027MO6	M25069MO1	M25069MO6	M25142MO1	M25142MO6	M25154MO1	M25154MO6	M25159MO1	M25159MO6	M25183MO1	M25183MO6	M25188MO1	M25188MO6	M25237MO1	M25244MO1	M25244MO6	M25262MO1	M25262MO6	M25290MO6	M30001MO1	M30001MO6	M30004MO1	M30004MO6	M30007MO1	M30009MO1	M30009MO6	M40027MO1	M40027MO6
k__Bacteria	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.96522	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.98135	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
k__Bacteria|p__Actinobacteria	3.19823	89.64216	2.15484	0.01944	37.12056	34.01642	83.998	38.68424	72.01479	83.8491	23.53054	0.08115	90.47085	51.80043	0.15651	0.00289	15.76859	70.14015	82.36827	44.3317	73.0244	86.60386	20.59186	0.21396	0.15758	0.93579	0.02507	1.05712	91.91885	56.79589	94.3585	0.44395	0.44657	49.13115	0.9581	66.02511	0.42998	64.1	66.05154	62.86025	8.55707	0.01322	2.51777	25.42372	0.02843	31.92403	83.2394	10.51329	91.18142	1.5621	76.82629	46.01809	76.55163	96.32294	80.10917	37.05315	85.63206	0.27711	63.73305	17.62822	2.56044	0.06911	0.13282	70.04194	68.25094	53.78809	13.97784	16.98653	33.29756	73.88757	86.34034	95.50306	0.08574	65.91196	61.94947	62.08305	22.05362	46.78165	0.13393	0.22545	0.16909	69.84155	67.07398	69.93475	99.82088	65.49308	76.34637	8.44843	5.24344	48.68882	38.82771	54.60751	80.25827	66.78486	42.40612	27.45592	24.1465	45.0906	71.01778	28.80085	36.10181	53.10399	51.852	15.53159	31.74489	0.09914	79.07151	92.32914	44.70059	18.66646	82.19281	2.34372	67.11243	47.44582	69.58936	0.15227	0.13121	96.26027	6.43048	15.63791	33.98578	0.20776	0.23494	0.12135	58.32925	92.30148	62.74767	80.04477	61.28104	0.45686	55.77415	3.57901	39.43333	0.07952	61.41786	0.02472	4.01867	20.08006	80.02299	71.1801	6.36505	15.30516	79.43292	73.48275	0.27529	10.72972	2.62742	76.9258	7.15494	95.97345	32.96667	63.38611	48.2974	73.36292	0.42012	0.97991	5.95539	51.22278	10.21996	93.10642	0.14646	0.28617	0.06792	25.76522	6.13431	43.0544	27.42509	7.92132	66.84862	10.07774	31.11872	85.76568	95.68004	88.16888	24.40027	89.35169	74.65488	2.70479	33.38836	26.70872	54.57678	93.19483	97.03647	42.25618	74.08054	0.16587	9.92229	5.77011	36.42517	56.94751	72.50168	0.20209	67.63027	17.21804	79.00758	0.17511	16.66688	0.90248	55.38695	22.37185	69.11976	0.95915	9.1804	21.69224	52.27674	0.38129	86.23201	20.34761	48.02434	79.20042	83.91256	0.39519	27.06502	14.6837	46.21453	84.72641	90.34006	0.71112	1.27349	79.42287	26.56387	25.50291	58.77804	88.42892	12.10257	90.48162	79.68634	30.41363	62.0244	0.15428	66.79293	0.58752	77.16033	81.65341	0.03939	0.15962	47.66166	68.3987	0.85067	30.08468	93.65258	96.30969	0.09261	95.03814	27.02284	73.85801	0.19005	0.49013	0.06168	54.79199	34.29507	76.97942	75.67366	0.21635	52.30406	12.23833	14.20109	12.09492	48.22263	68.49277	79.45076	63.42032	0.01677	0.18084	20.47762	13.19416	32.1986	0.74946	0.36695	52.15721	25.23895	76.1866	63.25486	81.77545	13.35805	27.07116	16.89739	91.1322	0.05749	90.4138	38.71639	44.42514	76.83498	78.64903	20.4953	28.75672	0.39686	84.4872	72.16171	56.18661	50.62407	72.78599	18.72077	80.52703	71.15991	53.9352	17.85454	1.16365	82.83335	68.11738	0.16748	81.62524	12.60181	0.09774	41.17929	31.28247	68.88456	31.70719	0.5899	71.68717	20.79682	74.11718	78.54548	25.04944	97.77793	0	69.63186	98.79315	86.6052	10.80333	88.50906	0.44275	78.74211	66.82817	48.00292	3.30361	98.97185	67.51734	55.73412	1.48917	31.43711	2.23257	8.44967	29.98644
k__Bacteria|p__Proteobacteria	33.06083	1.48952	87.33197	98.95007	4.76827	55.41747	11.56414	43.41879	17.46884	2.65315	2.44571	85.42656	5.86967	0.79881	16.42093	99.09464	29.61435	11.34017	13.84189	10.67116	0.60941	7.38094	47.92871	67.90927	25.55254	18.28962	47.40703	10.7814	2.42676	43.06615	3.3653	94.08519	37.97252	45.38186	16.78493	0.59859	60.17371	16.53817	18.60449	1.81102	12.0135	3.03249	70.98861	69.41439	40.056	3.89138	13.6116	50.66568	0.7442	0.64635	1.10447	7.80172	1.85036	0.67536	4.99362	61.35381	0.35447	57.65271	4.60647	9.51369	12.3263	81.99392	83.0656	2.04364	4.29552	0.83063	36.34634	0.37783	61.28607	23.1738	0.32143	0.53038	85.61481	22.19683	0.07489	1.71738	16.81145	4.33989	97.69468	8.69248	90.45745	7.93212	1.11882	13.3763	0.06601	9.09088	7.91131	13.56216	41.22121	0.83243	2.18102	5.83843	9.03143	2.71613	4.96957	0.57545	3.18148	15.22669	7.5393	22.30274	1.25866	3.45047	4.33514	0.69184	7.55027	80.77475	0.89126	1.99652	1.81664	9.56372	7.02538	28.42523	13.01482	8.42603	16.98433	38.64888	69.76253	0.79919	0.67154	50.92526	4.05223	1.34792	18.92811	3.39479	1.89627	0.72114	36.18864	1.81401	1.53756	94.35207	2.06372	27.26384	0.20285	60.16447	2.05865	20.88402	4.41605	19.99003	0.55372	3.05872	30.33295	5.76098	0.27712	14.19448	51.83664	7.91392	20.65398	1.41689	11.31849	0.63642	34.35865	3.21175	3.60023	3.60768	17.86564	3.79754	34.82323	9.60701	6.89944	0.06158	12.0835	1.9268	13.57506	11.62627	81.777	2.60828	6.05474	91.28024	1.01673	31.09884	1.44037	10.95794	2.93068	5.6904	7.89028	7.35652	4.97072	31.40551	6.31991	11.80142	0.23856	6.13979	0.65543	0.16555	2.92103	4.50976	11.43636	0.29288	4.23134	5.11635	1.80056	6.44016	3.19979	81.1912	0.92239	53.60986	35.06273	86.60831	2.34905	18.86943	10.62786	25.30992	8.9114	4.20041	2.84159	91.90429	5.96689	32.02979	2.54019	1.98397	4.02896	14.26318	4.33375	0.44836	5.53993	3.79308	3.74159	1.69532	24.80052	1.44578	18.63518	63.6278	22.87423	5.72143	13.24358	1.79532	11.02399	3.14182	0.97496	67.39659	8.64234	37.52944	5.03216	2.23011	85.2333	14.49841	9.52701	5.30838	46.85184	2.16755	1.56105	2.04758	87.43666	0.48548	41.34916	2.653	14.75995	23.32294	92.61961	15.05809	2.61367	20.46187	3.68618	72.83318	8.12884	48.85211	6.21324	1.97288	37.6409	8.48465	13.19004	2.91829	83.95911	62.18602	0.18271	2.57624	2.46332	12.75241	79.38322	0.87362	1.33646	1.77034	19.62404	1.80052	0.53784	12.40438	26.13374	6.74263	98.83073	0.05477	57.09928	52.81524	1.46692	5.03997	76.0661	9.13866	77.90846	11.53507	0.03639	0	47.49	4.73269	49.71105	1.62551	2.95368	3.4794	56.5982	52.25675	1.81462	2.93564	58.65904	2.30883	8.84887	2.98941	0.56592	51.34308	1.33831	39.66939	1.61487	0.45949	4.84068	1.30666	3.96423	0.00253	0.08078	99.77588	0.34002	0.14006	2.19336	52.53152	1.59204	29.7658	4.2014	14.29041	3.80204	28.9463	0.66696	4.25175	1.36968	6.96799	1.05768	88.27154	40.61428	1.55027
k__Bacteria|p__Bacteroidetes	51.18481	1.25957	0	0.0102	0.11827	0.00189	3.98194	4.50186	0	0.00139	48.83065	0	0.00133	0	0.11786	0	49.57236	17.41849	2.49618	0.08676	20.72127	0	29.21839	0	0.00077	0	0	60.80861	0.84477	0	0	0	0	2.23614	65.94575	31.28696	3.08361	0.48724	0	18.81606	0.00556	75.29405	0	0.81466	54.13498	61.09601	0.00177	33.13675	0	42.07546	3.69238	44.49418	15.44261	1.32202	5.12398	0.01361	0.00477	37.96344	20.71599	0.00899	0.00341	0.01501	0.01007	0.08713	0.21237	32.00536	29.93426	50.43691	0.72867	2.56561	0.20736	0.01936	0.04219	0.03313	24.38124	28.80333	0.10499	1.46213	0.05379	0.05445	0.06968	0.03825	0.02143	0.02819	0.0541	0.10516	0.17157	10.02523	33.42616	48.70832	51.45781	33.88271	3.10393	17.77237	38.49966	25.58006	54.81265	33.3579	0.03484	43.39146	36.38793	41.33582	37.20008	0.01897	0.07398	0.01017	0.05501	0.0674	16.39153	0.01898	0.03829	56.88314	10.3631	23.67576	7.51373	56.49569	0.1412	0.37457	37.07989	0.08304	0.0237	13.91367	70.24924	0.03581	36.38591	3.39714	0.00401	14.98387	24.36199	0.00125	0.14238	65.8093	20.28423	0.00544	0.05548	79.05111	62.56775	3.89173	0.08877	0.01934	15.35728	4.21468	0.01518	0.07298	0.05594	66.56989	76.25344	1.66185	80.60986	0.96356	0.23934	0.01334	0.08502	0.06603	80.98324	76.79697	0.01536	0.16933	32.91448	0.55142	70.75353	23.29334	39.22128	55.05741	0.06052	0.04494	0.08028	0.00306	13.05461	56.20015	26.66907	0.13281	0	0.10956	24.96037	2.01965	3.04374	0.10165	38.95649	57.95823	14.89337	0.02926	1.4624	48.60741	18.86293	51.45588	40.12989	88.62063	11.95232	36.80117	18.63461	39.99307	15.99589	0.02557	2.01593	0.03578	24.18977	0.01124	13.45981	58.306	13.20844	0.16172	0.05297	0.11915	3.73838	0.19131	0.01478	1.94125	16.02759	3.83652	8.11909	76.87595	41.01325	71.82598	30.42179	0.3423	0	75.69102	70.94537	3.79238	52.71131	0.07988	0.31642	0.05274	61.37111	0.57549	2.84752	38.8733	9.48535	0.02353	0.0118	36.41577	0.0016	0.14897	0.02329	0.00486	25.95311	0	40.94234	15.8662	0.01498	0	11.5305	0.03297	0.0272	0.00115	0	0.00493	0.00537	27.20053	52.31443	2.5587	9.64496	0	33.42023	30.6867	69.65824	44.62542	13.33799	0.00937	0.04727	0.0017	0	33.568	64.05947	72.28463	45.67569	0.58453	0.04717	25.13438	68.90694	16.17104	0.46321	0	84.26319	51.49889	55.8407	0.2613	0.02365	0.00333	0.07951	0	0.24395	0	0.00153	0.59003	0.0177	0.24904	20.26117	34.51166	0.01295	0.13322	30.70978	12.44547	1.05149	23.94838	0.00178	0.03493	13.45657	27.48457	0.00513	0.01714	72.21949	10.58483	9.71698	1.48968	4.65137	0	74.21385	0	0	1.14283	6.09242	0.00258	0.09707	0.01013	3.31073	0.00295	7.1487	24.14358	1.21551	0.05056	6.22472	0	22.26579	0.00944	0	26.21659	29.61549	39.74529	67.30076	0	48.06296	48.1039
k__Bacteria|p__Actinobacteria|c__Actinobacteria	3.19823	89.62966	2.15484	0.01944	36.25242	34.01642	83.99143	38.64918	72.01479	83.58347	20.89971	0.06929	90.47085	50.98689	0.05641	0.00289	15.76859	69.88523	82.36827	44.27799	72.93169	86.60386	20.59186	0.04319	0.01235	0.91183	0.02507	1.05712	91.91626	56.79589	94.30385	0.44395	0.39727	49.13115	0.9581	66.02511	0.42998	64.1	66.05154	62.81045	8.44931	0.01273	2.51777	25.31891	0.02843	31.92003	83.2394	10.28435	90.02264	1.1049	76.4503	38.1123	69.28301	95.50604	79.17786	36.62093	85.62556	0.27286	60.548	17.6079	2.56044	0.06911	0.13282	69.93483	68.24941	53.00591	0.10617	16.98653	32.74146	73.83921	86.34034	95.50306	0.08574	65.83219	61.89172	61.80831	21.79782	46.61655	0.13393	0.14494	0.16909	69.8186	67.0436	69.84825	99.82088	65.38393	76.32376	8.44843	5.16736	47.234	32.40108	54.60751	80.23921	65.9998	41.72007	16.99781	23.95317	45.0906	71.01778	28.68059	35.99598	52.61456	49.30205	15.17095	31.69784	0.09914	79.03262	92.32914	44.1758	18.66646	82.05535	0.15198	66.41774	47.26077	69.58936	0.15227	0.13121	96.21831	3.90975	15.54583	33.95409	0.20776	0.23494	0.12135	58.30034	91.62841	62.70629	80.04477	57.00499	0.23691	55.59067	3.57475	39.43333	0.04061	61.37775	0.02472	3.43943	15.64273	80.02299	71.1801	0.42617	15.26957	79.43292	73.28888	0.27529	10.54264	2.62742	76.88184	4.69264	92.8738	32.96667	62.39213	48.2974	72.32655	0.42012	0.97909	5.88865	49.07967	6.79988	93.08725	0.14646	0.28617	0.06792	25.76522	6.13431	42.65783	27.42509	7.92132	66.55513	10.03221	31.05486	85.76568	95.68004	88.16888	24.40027	88.96136	74.21535	2.42906	33.28874	26.68372	54.20463	93.19483	96.99758	42.25618	73.82671	0.16587	9.88215	5.70028	36.29061	56.94751	72.41874	0.20209	67.31601	17.20783	78.88967	0.17511	16.62911	0.90248	55.16542	22.34343	69.11581	0.41329	9.13364	21.69224	51.77849	0.38129	86.2308	20.34761	47.40909	78.29631	83.91256	0.39519	26.79653	0.15174	41.61294	84.72484	90.34006	0.69499	1.27349	79.26707	26.56387	25.10482	58.70947	88.42892	12.10257	90.48162	79.34716	30.28466	57.90996	0.047	66.21781	0.58752	77.14836	81.29764	0.03939	0.15962	47.57449	68.3987	0.85067	29.92523	93.65258	96.0869	0.09261	95.03814	27.02284	73.85801	0.19005	0.11076	0.06168	54.65315	34.19983	76.97942	75.52366	0.21635	52.0958	12.23403	14.12987	11.8425	48.22263	68.49277	79.45076	62.27695	0.01677	0.18084	20.23997	13.08007	32.01747	0.74946	0.36695	52.15721	25.18204	76.16797	63.25486	81.77545	13.35805	27.01385	16.80509	90.64337	0.03512	90.3059	36.71508	44.42514	76.67275	78.64903	20.4953	28.72459	0.39686	84.45358	71.97824	56.13652	50.62407	72.3536	18.70022	77.58837	71.0683	53.52411	17.85454	1.09241	82.82994	66.41602	0.16748	81.62524	12.60181	0.09774	40.4731	31.02135	64.56687	31.70523	0.22102	71.68717	20.79682	74.11718	78.54548	25.04944	97.77793	0	69.50123	98.79315	85.19293	10.80333	88.50829	0.44275	78.58976	66.60422	47.92496	3.13707	98.97185	67.38331	55.73361	1.48917	31.43711	2.23257	8.44967	29.97651
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	33.06083	1.48952	87.33197	98.95007	4.75809	55.41747	10.94145	43.23698	17.46884	2.60074	0.05826	85.42656	5.28646	0.79881	16.37538	99.09464	29.61435	11.34017	13.84189	10.25359	0.60941	7.38094	47.92871	67.90927	25.55254	18.28962	47.40703	10.7814	2.42676	43.06615	3.3653	94.08519	37.97252	45.33136	16.78493	0.59859	60.17371	16.53817	18.60449	0.29703	11.97291	3.03249	70.98861	69.41439	40.056	3.89138	13.6116	50.66568	0.7442	0.64635	1.10447	1.79885	0.56365	0.67536	4.99362	61.35381	0.35447	57.65271	3.82561	9.51369	12.19978	81.99392	83.0656	2.04364	4.29552	0.33883	36.34634	0.37783	61.27605	23.1738	0.32143	0.53038	85.61481	22.19683	0.07489	1.71738	16.81145	4.33989	97.69468	8.69248	90.45745	7.93212	1.11882	13.2215	0.06601	9.09088	7.91131	12.03048	40.95637	0.16947	0.60696	5.83843	9.03143	1.33952	3.93214	0.54306	2.14718	14.89717	7.5393	22.24019	0.71897	3.02873	3.39161	0.1261	7.46235	80.75847	0.89126	1.99652	1.81664	9.56372	7.02538	27.06579	12.64405	8.42603	16.97351	38.64888	69.76139	0.79919	0.0811	50.92526	4.05223	1.34792	18.92811	3.39479	1.89627	0.72114	36.18864	1.65887	1.08487	94.35207	0.61573	27.01665	0.20285	60.16447	2.05865	20.88402	4.41605	19.98276	0.55372	3.05872	30.33295	5.6181	0.27712	14.19448	51.83664	7.91392	20.65398	1.38636	11.31849	0.63642	34.35865	3.09427	3.60023	3.60768	17.86564	3.79754	34.82323	9.60701	6.89064	0.06158	11.29197	1.9268	13.45286	11.62627	81.777	2.60828	6.05474	91.28024	1.01673	31.09884	1.43483	10.73442	2.93068	5.6904	7.89028	7.0163	3.12977	31.40551	6.31991	11.80142	0.23856	6.13979	0.54135	0.15628	2.52012	4.50976	11.43636	0.25255	1.39374	5.11635	1.80056	6.44016	3.19979	81.18547	0.92239	53.60986	35.06273	86.60831	2.25765	18.86943	8.29115	25.30992	8.9114	4.20041	2.84159	91.90429	5.96689	32.02979	2.54019	1.98397	4.02896	14.26318	4.33375	0.2391	3.12483	3.79308	3.74159	1.69532	24.80052	1.40769	18.63518	63.6278	22.5214	5.6735	13.24358	1.79532	11.02399	0.03505	0.5334	67.39659	4.74597	37.52944	5.01401	2.14275	85.2333	14.49045	9.52701	5.30838	46.85184	2.16755	1.56105	2.04758	86.46707	0.46133	41.34916	2.653	13.89381	23.3171	92.61961	15.05809	2.61367	20.46187	3.68618	72.83318	8.12884	48.83527	3.23838	1.79994	37.6409	8.48465	13.19004	2.91829	83.95911	62.18602	0.18271	2.57624	2.46332	12.75241	79.38322	0.87362	1.33646	1.77034	19.62404	1.80052	0.53784	2.26095	26.13374	6.74263	98.83073	0.05477	57.09928	52.81524	1.46692	5.03997	76.0661	8.94296	77.90846	11.53507	0.03639	0	47.49	4.73269	49.71105	1.62551	2.95368	3.4794	56.5982	52.25675	1.26382	2.86114	58.65904	1.72112	8.6735	2.98941	0.56592	51.34308	0.9774	39.66939	1.30678	0.45949	4.84068	1.30666	3.96423	0.00253	0.08078	99.77588	0.02857	0.14006	1.68469	52.53152	1.58672	29.7658	4.2014	14.29041	3.80204	28.93896	0.66696	4.25175	1.19552	6.96799	1.05768	88.27154	40.61428	1.55027
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	51.18481	1.25957	0	0.0102	0.11827	0.00189	3.98194	4.50186	0	0.00139	48.83065	0	0.00133	0	0.11786	0	49.57236	17.41849	2.49618	0.08676	20.72127	0	29.21839	0	0.00077	0	0	60.80861	0.84477	0	0	0	0	2.23614	65.94575	31.28696	3.08361	0.48724	0	18.81606	0.00556	75.29405	0	0.81466	54.13498	61.09601	0.00177	33.13675	0	42.07546	3.69238	44.49418	15.44261	1.32202	5.12398	0.01361	0.00477	37.96344	20.71599	0.00899	0.00341	0.01501	0.01007	0.08713	0.21237	32.00536	29.93426	50.43691	0.72867	2.56561	0.20736	0.01936	0.04219	0.03313	24.38124	28.80333	0.10499	1.46213	0.05379	0.05445	0.06968	0.03825	0.02143	0.02819	0.0541	0.10516	0.17157	10.02523	33.42616	48.70832	51.45781	33.88271	3.10393	17.77237	38.49966	25.58006	54.81265	33.3579	0.03484	43.39146	36.38793	41.33582	37.20008	0.01897	0.07398	0.01017	0.05501	0.0674	16.39153	0.01898	0.03829	56.88314	10.3631	23.67576	7.51373	56.49569	0.07186	0.37457	37.07989	0.08304	0.0237	13.91367	70.24924	0.03581	36.38591	3.39714	0.00401	14.98387	24.36199	0.00125	0.14238	65.8093	20.28423	0.00544	0.05548	79.05111	62.56775	3.89173	0.08877	0.01934	15.35728	4.21468	0.01518	0.07298	0.05594	66.56989	76.25344	1.66185	80.60986	0.96356	0.23934	0.01334	0.08502	0.06603	80.98324	76.79697	0.01536	0.16933	32.91448	0.55142	70.75353	23.29334	39.22128	55.05741	0.06052	0.04494	0.08028	0.00306	13.05461	56.20015	26.66907	0.13281	0	0.10956	24.96037	2.01965	3.04374	0.10165	38.95649	57.95823	14.89337	0.02926	1.4624	48.60741	18.86293	51.45588	40.12989	88.62063	11.95232	36.80117	18.63461	39.99307	15.99589	0.02557	2.01593	0.03578	24.18977	0.01124	13.45981	58.306	13.20844	0.16172	0.05297	0.11915	3.73838	0.19131	0.01478	1.94125	16.02759	3.83652	8.11909	76.87595	41.01325	71.82598	30.42179	0.3423	0	75.69102	70.94537	3.79238	52.71131	0.07988	0.31642	0.05274	61.37111	0.57549	2.84752	38.8733	9.48535	0.02353	0.0118	36.41577	0.0016	0.14897	0.02329	0.00486	25.95311	0	40.94234	15.8662	0.01498	0	11.5305	0.03297	0	0.00115	0	0.00493	0.00537	27.20053	52.31443	2.5587	9.64496	0	33.42023	30.6867	69.65824	44.62542	13.33799	0.00937	0.04727	0.0017	0	33.568	64.05947	72.28463	45.67569	0.58453	0.04717	25.13438	68.90694	16.17104	0.46321	0	84.26319	51.49889	55.8407	0.2613	0.02365	0.00333	0.07951	0	0.24395	0	0.00153	0.59003	0.0177	0.24904	20.26117	34.51166	0.01295	0.13322	30.70978	12.44547	1.05149	23.94838	0.00178	0.03493	13.45657	27.48457	0.00513	0.01714	72.21949	10.58483	9.71698	1.48968	4.65137	0	74.21385	0	0	1.14283	6.09242	0.00258	0.09707	0.01013	3.31073	0.00295	7.1487	24.14358	1.21551	0.05056	6.22472	0	22.26579	0.00944	0	26.21659	29.61549	39.74529	67.30076	0	48.06296	48.1039
